event,year,type,
"UMN, Carlson School of Management, Work & Organizations Dept. Seminar",2015,invited seminar,
"AEA Annual Meeting, “Empirical Market Design”",2015,conference talk,https://www.aeaweb.org/aea/2015conference/program/preliminary.php
"MIT Sloan, Operations Management Seminar",2014,invited seminar,
"NBER Summer Institute 2014, Economics of IT and Digitization",2014,conference talk,http://conference.nber.org/confer/2014/SI2014/PRIT/PRITprg.html
"University of Chicago, Harris School, Public Policy and Economics Seminar",2014,invited seminar,
University of Nuremburg,2014,invited seminar,
"Xiamen University, International Symposium on Contemporary Labor Economics",2013,conference talk,
"INSEAD, Technology and Operations Management Seminar",2013,invited seminar,
MIT Roundtable on the Digital Economy,2013,keynote ,
"SOLE/EALE, Society of Labor Economics Annual Meeting",2013,conference talk,
"The Bernard L. Schwartz Globalization Initiative at SAIS Distinguished Lecture Series, Johns Hopkins University, November 2012",2012,conference talk,
"Experimental Economics Lunch Seminar, University of Chicago",2011,invited seminar,
"Networked Business Seminar, Harvard Business School",2011,invited seminar,
"Neural Information Processing Systems (NIPS) 24th Annual Conference, Vancouver, British Columbia, Invited Speaker on “Social Science and the Wisdom of Crowds,” December 2010",2010,conference talk,
"The 6th Workshop on Internet and Network Economics (WINE 2010), Stanford University",2010,conference talk,
"Christakis Lab Group Seminar Series, Harvard Medical School, November 2010",2010,invited seminar,
"CrowdConf 2010, San Francisco, CA, October 2010",2010,conference talk,
"Advances with Field Experiments, Wharton School of Business, University of Pennsylvania,",2010,conference talk,
"Crowdsourcing Applications Seminar, University of Massachusetts",2010,invited seminar,
"European Association of Labour Economists (EALE) / Society of Labor Economists (SOLE) 3rd International Conference, University College London, June 2010",2010,conference talk,
"ACM-Conference on Electronic Commerce (ACM-EC), Cambridge, MA",2010,conference talk,
"EconCS Seminar, Harvard School of Engineering and Applied Science",2010,invited seminar,
"SJDM Annual Conference, Boston, MA",2009,conference talk,
